feature,mean_abs_shap
temp_mean,20.065845542556723
load_lag_8760h,12.89421102126378
hour,8.016459611985535
cdh,4.993064296886979
month_cos,4.1061205890509935
hour_sin,1.7926538954767084
load_rolling_mean_720h,1.3624961045843635
month,1.0841489064500656
month_sin,1.0575773964640993
load_rolling_mean_168h,0.9868884735750934
hour_cos,0.9662142785131091
load_rolling_std_720h,0.709629578017867
load_rolling_std_168h,0.6965616915943927
dayofweek,0.6003149541124672
dow_sin,0.20184506488107692
is_weekend,0.07559391410853634
dow_cos,0.06807583930349895
hdh,0.0
